platform,round_date,startup_name,country,sector,valuation_pre_money_eur,amount_raised_eur,revenue_last_fy_eur,arr_eur,mrr_eur,gmv_eur,assumed_take_rate_pct,headcount
Crowdcube,2025-09-10,PayWave,United Kingdom,Fintech,20000000,3500000,2500000
Seedrs,2025-08-22,GreenVolt,France,Climate Tech,15000000,2200000,1200000
Seedrs,2025-09-30,SkyDocs,United Kingdom,SaaS,12000000,1800000,1500000
Crowdcube,2025-08-05,BioSense,Netherlands,Healthtech,15000000,2200000,1300000
Seedrs,2025-07-12,OrbitalWorks,France,Deeptech,18000000,2400000,1600000
Crowdcube,2025-06-20,Shoply,Spain,Consumer,9000000,800000,700000
Seedrs,2025-05-18,PromptLoop,Germany,AI-native,14000000,1600000,1200000
Crowdcube,2025-09-22,PayBridge,Portugal,Fintech,12500000,1300000,950000
Seedrs,2025-09-14,ClearLedger,Ireland,Fintech,11800000,1100000,800000
Crowdcube,2025-08-10,DataForge,United Kingdom,B2B SaaS,12800000,1400000,1000000
Seedrs,2025-08-25,PipeWorks,Spain,B2B SaaS,11200000,1000000,820000
Crowdcube,2025-07-11,ThermoSmart,Italy,Climate,14200000,1600000,1150000
Seedrs,2025-07-28,SunGrid,Spain,Climate,15000000,1700000,1200000
Crowdcube,2025-08-21,BioPulse,Germany,Healthtech,14600000,1800000,1200000
Seedrs,2025-09-03,MedFlow,France,Healthtech,13200000,1200000,900000
Crowdcube,2025-08-05,QuantaChip,Netherlands,Deeptech,17200000,2000000,1500000
Seedrs,2025-08-30,OrbitFab,Spain,Deeptech,16000000,1900000,1400000
Crowdcube,2025-09-01,MarketMates,France,Consumer,10400000,900000,730000
Seedrs,2025-09-06,ShopLoop,Italy,Consumer,9800000,850000,700000
Crowdcube,2025-08-26,VectorAI,United Kingdom,AI-native,14100000,1600000,1200000
Seedrs,2025-09-12,PromptPilot,Germany,AI-native,13800000,1500000,1100000
